30_001,30_002,30_003,30_004,30_005,30_006,30_007,30_008,30_009,30_010
2070,,1,2,1,0,10201,10201,,
2071,,3,3,8,0,30308,30308,,
2072,,2,16,0,0,21600,21600,,
2073,,3,4,0,0,30400,30400,,
2074,,2,2,0,0,20200,20200,,
2075,,2,1,0,0,20100,20100,,
2076,,3,1,3,0,30103,30103,,
2077,,1,3,0,0,10300,10300,,
2078,,1,3,0,0,10300,10300,,
2079,,2,20,0,0,22000,22000,,
2080,,3,3,7,0,30307,30307,,
2081,,3,2,3,0,30203,30203,,
2082,,1,2,1,0,10201,10201,,
2083,,2,1,0,0,20100,20100,,
2084,,3,3,7,0,30307,30307,,
2085,,3,2,4,0,30204,21400,,
2086,,3,2,3,0,30203,30203,,
2087,,2,13,0,0,21300,21300,,
2088,,3,3,7,0,30307,30307,,
2089,,3,3,7,0,30307,30307,,
2090,,1,3,0,0,10300,10300,,
2091,,3,2,1,0,30201,30205,,
2092,,2,1,0,0,20100,20100,,
2093,,3,2,3,0,30203,30203,,
2094,,1,2,1,0,10201,10201,,
2095,,1,2,1,0,10201,10201,,
2096,,3,3,8,0,30308,30308,,
2097,,2,1,0,0,20100,20100,,
2098,,3,1,1,0,30101,30101,,
2099,,1,2,1,0,10201,10201,,
2100,,1,2,1,0,10201,10201,,
2101,,3,3,6,0,30306,30306,,
2102,,3,3,7,0,30307,30307,,
2103,,1,6,0,0,10600,10600,,
2104,,1,3,0,0,10300,10300,,
2105,,3,3,8,0,30308,30308,,
2106,,2,13,0,0,21300,21300,,
2107,,1,3,0,0,10300,10300,,
2108,,2,3,0,0,20300,20300,,
2109,,2,1,0,0,20100,20100,,
2110,,2,13,0,0,21300,21300,,
2111,,2,3,0,0,20300,20300,,
2112,,2,20,0,0,22000,22000,,
2113,,1,6,0,0,10600,10600,,
2114,,2,19,0,0,21900,21900,,
2115,,3,3,8,0,30308,30308,,
2116,,2,1,0,0,20100,20100,,
2117,,2,6,0,0,20600,20600,,
2118,,2,1,0,0,20100,20100,,
2119,,3,3,7,0,30307,30307,,
2120,,2,13,0,0,21300,21300,,
2121,,2,1,0,0,20100,20100,,
2122,,3,3,8,0,30308,30308,,
2123,,1,2,1,0,10201,20700,,
2124,,1,2,2,0,10202,10202,,
2125,,2,1,0,0,20100,20100,,
2126,,1,3,0,0,10300,10300,,
2127,,1,2,2,0,10202,10202,,
2128,,3,2,4,0,30204,30205,,
2129,,2,14,0,0,21400,21400,,
2130,,2,1,0,0,20100,20100,,
2131,,2,1,0,0,20100,20100,,
2132,,3,2,1,0,30201,30201,,
2133,,3,3,7,0,30307,30307,,
2134,,1,2,2,0,10202,10202,,
2135,,2,14,0,0,21400,21400,,
2136,,1,2,2,0,10202,10300,,
2137,,1,6,0,0,10600,10600,,
2138,,1,2,2,0,10202,10202,,
2139,,3,3,8,0,30308,30308,,
2140,,1,3,0,0,10300,10300,,
2141,,1,2,2,0,10202,10202,,
2142,,1,7,2,0,10702,10702,,
2143,,1,6,0,0,10600,10600,,
2144,,2,1,0,0,20100,20100,,
2145,,1,2,2,0,10202,10202,,
2146,,1,2,1,0,10201,30201,,
2147,,1,6,0,0,10600,10600,,
2148,,2,12,0,0,21200,21200,,
2149,,1,3,0,0,10300,10300,,
2150,,1,5,0,0,10500,10500,,
2151,,1,2,1,0,10201,10201,,
2152,,3,3,7,0,30307,30307,,
2153,,2,14,0,0,21400,21400,,
2154,,2,1,0,0,20100,20100,,
2155,,2,1,0,0,20100,20100,,
2156,,2,1,0,0,20100,20100,,
2157,,2,1,0,0,20100,20100,,
2158,,3,2,4,0,30204,21400,,
2159,,2,3,0,0,20300,20300,,
2160,,3,3,8,0,30308,30308,,
2161,,1,3,0,0,10300,10300,,
2162,,3,3,8,0,30308,30308,,
2163,,2,1,0,0,20100,20100,,
2164,,2,16,0,0,21600,21600,,
2165,,1,2,2,0,10202,10202,,
2166,,2,8,0,0,20800,20800,,
2167,,3,1,1,0,30101,30103,,
2168,,1,7,2,0,10702,10702,,
2169,,1,6,0,0,10600,10600,,
2170,,2,1,0,0,20100,20100,,
2171,,1,2,1,0,10201,10201,,
2172,,3,4,0,0,30400,30400,,
2173,,1,2,1,0,10201,30201,,
2174,,1,2,2,0,10202,10202,,
2175,,2,1,0,0,20100,20100,,
2176,,3,3,8,0,30308,30308,,
2177,,1,3,0,0,10300,10300,,
2178,,1,2,2,0,10202,10202,,
2179,,1,2,1,0,10201,10201,,
2180,,1,2,2,0,10202,10202,,
2181,,1,2,1,0,10201,10201,,
2182,,2,20,0,0,22000,22000,,
2183,,2,13,0,0,21300,21300,,
2184,,3,3,7,0,30307,30307,,
2185,,2,3,0,0,20300,20300,,
2186,,1,1,2,0,10102,10102,,
2187,,1,2,1,0,10201,10201,,
2188,,1,2,2,0,10202,10202,,
2189,,1,2,2,0,10202,10202,,
2190,,2,3,0,0,20300,20300,,
2191,,3,3,7,0,30307,30307,,
2192,,1,2,2,0,10202,10202,,
2193,,1,2,2,0,10202,10202,,
2194,,3,3,8,0,30308,30308,,
